2004,37,MORELIA,,LAS PAMPAS,,294
2004,38,CIUDAD HIDALGO,,RANCHO LAS PILAS,,61
2004,038-A,MORELIA,,CONJUNTO HABITACIONAL CAMPESTRE DEL VERGEL,,310
2005,1,MORELIA,,AMPLIACION CONJUNTO HABITACIONAL CAMPESTRE DEL VERGEL,,310
2005,2,CIUDAD HIDALGO,,RANCHO VIEJO 1 RANCHO VIEJO 2 TEJAMANILES Y LOS AJOLOTES ,,20
2005,3,MORELIA,,JARDINES DE TORREMOLINOS ,PARA LAS CALLES EXHACIENDA DE CANTABRIA Y EXHACIENDA DE COPANDARO DEL 4,347
2005,4,MORELIA,,AVENIDA ALFREDO ZALCE                     El presente acuerdo deja sin efecto el nÑ 29/2004,ACCESO A LA ZONA URBANA IDENTIFICADA COMO FTO.  EN CONDOMINIO TRES MARIAS ,432
2005,5,URUAPAN,,PEDREGAL DE SAN MIGUEL ,,35
2005,6,MORELIA,,LOMAS DEL SUR ,,414
2005,7,SAHUAYO,,RINCON DE SAN ANDRES,,64
2005,8,MORELIA,,JARDINES DE LA AURORA,,191
2005,9,PATZCUARO,,EJIDO DE TZURUMUTARO ,,94
2005,10,MARCOS CASTELLANOS ,,TIPO POPULAR ARBOLEDAS ,,49
2005,11,MARCOS CASTELLANOS ,,TIPO POPULAR LOMAS DEL DURAZNO,,65
2005,12,ZAMORA,,LA JARRILLA,,65
2005,13,SAHUAYO,,SAN JOSE,,151
2005,14,SAHUAYO,,GUADALUPE,,191
2005,15,CIUDAD HIDALGO,,LOS CUITZILLOS,,20
2005,16,ZAMORA,,CARRETERA ZAMORA-JACONA ESQUINA RIO NUEVO ,,905
2005,17,COTIJA,,CALLE ZARAGOZA FRENTE AL PREDIO DENOMINADO LOS CORRALES A UN COSTADO DEL PANTEON ,,43
2005,18,ZAMORA,,CAMPESTRE SAN JOSE,,445
2005,19,ZAMORA,,LOMAS DE CHAPARACO,,470
2005,20,ZAMORA,,HACIENDA LOS ANGELES ,,310
2005,21,ZAMORA,,REAL DE JERICO,,1039
2005,22,ZAMORA,,VILLAS DE SAN ANTONIO,,374
2005,23,ZAMORA,,SAN JOSE,,470
2005,24,ZAMORA,,CONJUNTO HABITACIONAL ARIO DE RAYON,,280
2005,25,ZAMORA,,HUERTAS DE LA BEATILLA,,65
2005,26,ZAMORA,,SAN JOAQUIN LA RINCONADA ,,653
2005,27,MORELIA,,DEFENSORES DE LA REPUBLICA,,374
2005,28,MORELIA,,AMPLIACION LA ESPERANZA ,,251
2005,29,MORELIA,,CONJUNTO HABITACIONAL LOMAS DE LA MAESTRANZA ,,365
2005,30,ARTEAGA ,,EX HACIENDA LAS CAÑAS                     El presente acuerdo deja sin efecto el nÑ 18/2002,,5
2005,31,MORELIA,,MIRADOR DEL ANGEL ,,191
2005,32,MORELIA,,VALLE DEL DURAZNO,,65
2005,33,MORELIA,,ASENTAMIENTO LA BARRANCA,,94
2005,34,MARCOS CASTELLANOS ,,COLINAS DEL DURAZNO 2a ETAPA ,,94
2005,35,COTIJA,,CALLE GOMEZ FARIAS DEL SECTOR 4 MANZANAS 56 57 58 Y 59 DEL PREDIO DENOMINADO EL ARENAL ,,94
2005,36,COAHUAYANA ,,PALOS MARIAS ,,15
2005,37,COAHUAYANA ,,SAN VICENTE ,,25
2005,38,COAHUAYANA ,,SANTA MARIA MIRAMAR ,,15
2005,39,COAHUAYANA ,,EL TICUIZ,,20
2005,40,COAHUAYANA ,,EL OJO DE AGUA ,,25
2005,41,COAHUAYANA ,,ZAPOTAN ,,15
2005,42,LAZARO CARDENAS,,EN LAS CALLES NARCISO BASSOLS EN EL TRAMO COMPRENDIDO ENTRE LA AV. ARTEMIO DEL VALLE Y FRANCISCO NOYOLA ASI COMO PARA LA AV. 5 DE FEBRERO EN EL TRAMO COMPRENDIDO ENTRE LAS CALLES ANTES MENCIONADAS ASIMISMO PARA LA CALLE ARTEMIO DEL VALLE,,310
2005,43,ZAMORA,,CALLE PROLONGACION 5 DE MAYO ,,470
2005,44,TZITZIO,,TENENCIA DEL DEVANADOR EN SUS CALLES GUADALUPE VICTORIA MIGUEL HIDALGO P. JOSE RIVERA MARIANO MATAMOROS Y CARRETERA A MORELIA,,18
2006,44,TZITZIO,,TENENCIA DEL DEVANADOR EN SUS CALLES GUADALUPE VICTORIA MIGUEL HIDALGO P. JOSE RIVERA MARIANO MATAMOROS Y CARRETERA A MORELIA,Y PARA EL RESTO DE LAS CALLES ,10
2005,45,ZAMORA,,HUERTAS SAN JOAQUIN,,280
2005,46,ZAMORA,,REAL DEL VALLE,,374
2005,47,ZAMORA,,HACIENDA DEL VALLE,,310
2005,48,ZAMORA,,PRADOS DE VALENCIA ,,374
2005,49,ZAMORA,,REAL DE VALENCIA,,408
2005,50,ZAMORA,,EL CAMPANARIO,,374
2005,51,MORELIA,,23 DE MARZO,PARA LAS CALLES BEGENA JERECUARO Y TEHUANTEPEC ENTRE ACALPICAN Y CHERANATZICURIN ,151
2006,51,MORELIA,,24 DE MARZO,PARA EL RESTO DE LAS CALLES ,121
2005,52,MORELIA,,ARIO 1851,,151
2005,53,MORELIA,,TINIJARO,PARA LA VIALIDAD PRIMARIA ,220
2006,53,MORELIA,,TINIJARO,PARA LA VIALIDAD SECUNDARIA ,151
2007,53,MORELIA,,TINIJARO,PARA LA VIALIDAD TERCIARIA,121
2005,54,MORELIA,,LOMA DORADA ,PARA LA VIALIDAD PRIMARIA ,121
2006,54,MORELIA,,LOMA DORADA ,PARA LA VIALIDAD SECUNDARIA ,94
2005,56,MORELIA,,LOMAS DE LA AURORA ,,151
2005,57,MORELIA,,CIUDAD JARDIN ,PARA LAS CALLES JAUJA RONDANILLA CAPIRE ENTRE IHUATZIO Y JAUJA HUAJUMBARO ENTRE IHUATZIO Y JAUJA CAMPAZOS Y NOCUPETARO ENRE IGUATZIO Y JAUJA,121
2006,57,MORELIA,,CIUDAD JARDIN ,PARA EL RESTO DE LAS CALLES ,94
2005,58,MORELIA,,LOMAS DEL PEDREGAL ,PARA LAS CALLES JOSE MARIA CERVANTES Y GONZALO CIRILO PEREZ ,121
2006,58,MORELIA,,LOMAS DEL PEDREGAL ,PARA EL RESTO DE LAS CALLES,151
2005,59,MORELIA,,RESIDENCIAL TINIJARO,PARA LA CALLE FRANCISCO I. MADERO PONIENTE,220
2006,59,MORELIA,,RESIDENCIAL TINIJARO,PARA LAS CALLES PUERTO CAMPECHE Y PUERTO VALLARTA ,151
2007,59,MORELIA,,RESIDENCIAL TINIJARO,PARA LA CALLE PUERTO COATZACOALCOS Y LA CALLE PUERTO REAL EN EL TRAMO ENTRE PUERTO COATZACOALCOS Y PUERTO CAMPECHE ,121
2008,59,MORELIA,,RESIDENCIAL TINIJARO,PARA LA CALLE PUERTO REAL ENTRE PUERTO CAMPECHE Y PURETO VALLARTA ,151
2005,60,MORELIA,,JARDINES DE SINDURIO ,PARA LA CALLE ANGEL DEL CAMPO ,191
2006,60,MORELIA,,JARDINES DE SINDURIO ,PARA EL RESTO DE LAS CALLES ,155
2005,61,MORELIA,,PATRIOTAS REPUBLICANOS ,PARA LA CALLE AV. FRANCISCO I. MADERO ,191
2006,61,MORELIA,,PATRIOTAS REPUBLICANOS ,PARA LAS CALLES LOMA DORADA Y MARTIN RIVERO  ,121
2007,61,MORELIA,,PATRIOTAS REPUBLICANOS ,PARA EL RESTO DE LAS CALLES,94
2005,62,MORELIA,,MANUEL GARCIA PUEBLITA,,94
2005,63,MORELIA,,RINCON DEL ANGEL ,,151
2005,64,MORELIA,,SAN PASCUAL,PARA CALLE AV. FRANCISCO I. MADERO ,191
2006,64,MORELIA,,SAN PASCUAL,PARA LAS CALLES AV. IDELFONSO DE PORTUGAL AV. GENERAL SOSTENES ROCHAS GRAL ANTONIO ROSALES FRANCISCO GARCIA SALINAS Y CORONEL ESTEBAN CORONADO ,121
2007,64,MORELIA,,SAN PASCUAL,PARA EL RESTO DE LAS CALLES ,94
2005,65,MORELIA,,LA ESPERANZA ,PARA LAS CALLES JOAQUIN CAMPA Y AV. BENIGNO SERRATO ,191
2006,65,MORELIA,,LA ESPERANZA ,PARA EL RESTO DE LAS CALLES,151
2005,66,MORELIA,,LOMA BONITA,,94
2005,67,MORELIA,,CIUDAD INDUSTRIAL DE MORELIA CUARTA ETAPA,PARA LA CALLE VICEPRESIDENTE PINO SUAREZ EN EL TRAMO COMPRENDIDO A PARTIR DE LA AV. PASCUAL ORTIZ RUBIO EN DIRECCION NORTE HASTA SU COLINDANCIA CON LA VIA DEL FERROCARRIL EN DONDE SE LOCALIZA EL ACCESO DE LA UNIVERSIDAD TECNOLOGICA DE MORELIA,155
2005,68,MORELIA,,AV. HUANIQUEO EN EL TRAMO ENTRE LA CALLE BENIGNO SERRATO Y FELIX IRETA,,50
2006,1,ZAMORA,,HUERTAS DEL CERRITO,TODAS LAS CALLES ,287
2006,2,MORELIA,,MESOAMERICA,EN TODAS  LAS CALLES,511
2006,3,LOS REYES,,AGUA CLARA,EN TODAS LAS CALLES,4234
2006,4,MORELIA,,HERMENEGILDO GALEANA (ANTES VALLE DE LOS SAUCES),EN TODAS LAS CALLES,511
